,startDateTime,endDateTime,icon,desc,temp,templow,baro,wind,wd,hum
0,2017-01-01 00:00:00,2017-01-01 06:00:00,14,Ice fog.,-3,-4,1027,8,220,99
1,2017-01-01 06:00:00,2017-01-01 12:00:00,10,Ice fog.,-3,-4,1024,6,190,93
2,2017-01-01 12:00:00,2017-01-01 18:00:00,1,Clear.,1,-4,1021,8,190,81
3,2017-01-01 18:00:00,2017-01-01 00:00:00,14,Ice fog.,-3,-5,1022,7,150,94
4,2017-01-02 00:00:00,2017-01-02 06:00:00,14,Ice fog.,-2,-3,1021,10,160,99
5,2017-01-02 06:00:00,2017-01-02 12:00:00,10,Ice fog.,-1,-3,1022,11,150,94
6,2017-01-02 12:00:00,2017-01-02 18:00:00,6,Partly sunny.,1,0,1022,9,270,87
7,2017-01-02 18:00:00,2017-01-02 00:00:00,31,Heavy snow. Passing clouds.,0,-2,1024,4,340,97
8,2017-01-03 00:00:00,2017-01-03 06:00:00,14,Ice fog.,-1,-5,1026,4,310,97
9,2017-01-03 06:00:00,2017-01-03 12:00:00,14,Ice fog.,-4,-5,1027,4,280,96
10,2017-01-03 12:00:00,2017-01-03 18:00:00,10,Ice fog.,-3,-4,1027,3,0,97
11,2017-01-03 18:00:00,2017-01-03 00:00:00,14,Ice fog.,-3,-4,1026,4,0,95
12,2017-01-04 00:00:00,2017-01-04 06:00:00,13,Clear.,-3,-4,1023,3,0,90
13,2017-01-04 06:00:00,2017-01-04 12:00:00,6,Broken clouds.,1,-3,1021,12,230,83
14,2017-01-04 12:00:00,2017-01-04 18:00:00,6,Partly sunny.,1,0,1019,14,250,87
15,2017-01-04 18:00:00,2017-01-04 00:00:00,14,Passing clouds.,0,-1,1019,16,260,87
16,2017-01-05 00:00:00,2017-01-05 06:00:00,14,Passing clouds.,0,-5,1020,11,280,88
17,2017-01-05 06:00:00,2017-01-05 12:00:00,14,Light fog.,-1,-6,1024,4,350,92
18,2017-01-05 12:00:00,2017-01-05 18:00:00,28,Light mixture of precip. Partly cloudy.,-1,-5,1027,8,350,82
19,2017-01-05 18:00:00,2017-01-05 00:00:00,14,Passing clouds.,-3,-10,1032,8,330,84
20,2017-01-06 00:00:00,2017-01-06 06:00:00,14,Passing clouds.,-10,-12,1035,5,10,93
21,2017-01-06 06:00:00,2017-01-06 12:00:00,2,Passing clouds.,-5,-10,1037,7,0,87
22,2017-01-06 12:00:00,2017-01-06 18:00:00,2,Passing clouds.,-5,-7,1036,9,30,68
23,2017-01-06 18:00:00,2017-01-06 00:00:00,13,Clear.,-7,-14,1037,9,0,82
24,2017-01-07 00:00:00,2017-01-07 06:00:00,14,Passing clouds.,-12,-15,1035,7,290,88
25,2017-01-07 06:00:00,2017-01-07 12:00:00,6,Broken clouds.,-9,-14,1035,3,10,89
26,2017-01-07 12:00:00,2017-01-07 18:00:00,6,Broken clouds.,-6,-8,1033,4,0,77
27,2017-01-07 18:00:00,2017-01-07 00:00:00,14,Passing clouds.,-4,-6,1031,6,180,79
28,2017-01-08 00:00:00,2017-01-08 06:00:00,29,Light snow. Passing clouds.,-4,-5,1029,6,170,92
29,2017-01-08 06:00:00,2017-01-08 12:00:00,29,Snow flurries. Broken clouds.,-1,-4,1030,4,0,91
30,2017-01-08 12:00:00,2017-01-08 18:00:00,6,Partly sunny.,0,-1,1030,2,0,83
31,2017-01-08 18:00:00,2017-01-08 00:00:00,14,Ice fog.,0,-3,1030,5,0,91
32,2017-01-09 00:00:00,2017-01-09 06:00:00,14,Ice fog.,-2,-2,1030,4,320,93
33,2017-01-09 06:00:00,2017-01-09 12:00:00,10,Ice fog.,-1,-3,1028,4,0,94
34,2017-01-09 12:00:00,2017-01-09 18:00:00,6,Partly sunny.,0,-1,1025,6,300,79
35,2017-01-09 18:00:00,2017-01-09 00:00:00,14,Passing clouds.,0,-2,1022,6,0,75
36,2017-01-10 00:00:00,2017-01-10 06:00:00,14,Passing clouds.,-1,-2,1016,10,170,78
37,2017-01-10 06:00:00,2017-01-10 12:00:00,29,Light snow. Ice fog.,-1,-3,1011,10,130,90
38,2017-01-10 12:00:00,2017-01-10 18:00:00,29,Light snow. Ice fog.,-1,-2,1009,9,140,98
39,2017-01-10 18:00:00,2017-01-10 00:00:00,29,Light snow. Ice fog.,0,-1,1013,4,0,94
40,2017-01-11 00:00:00,2017-01-11 06:00:00,14,Ice fog.,0,0,1015,4,0,97
41,2017-01-11 06:00:00,2017-01-11 12:00:00,6,Partly sunny.,1,0,1017,8,210,90
42,2017-01-11 12:00:00,2017-01-11 18:00:00,6,Partly sunny.,3,1,1014,18,210,74
43,2017-01-11 18:00:00,2017-01-11 00:00:00,34,Light rain. Passing clouds.,4,2,1015,25,220,85
44,2017-01-12 00:00:00,2017-01-12 06:00:00,34,Light rain. Passing clouds.,4,4,1017,20,220,87
45,2017-01-12 06:00:00,2017-01-12 12:00:00,6,More clouds than sun.,5,3,1018,9,220,90
46,2017-01-12 12:00:00,2017-01-12 18:00:00,6,Broken clouds.,6,3,1012,6,0,89
47,2017-01-12 18:00:00,2017-01-12 00:00:00,34,Light rain. Passing clouds.,5,3,1003,11,180,89
48,2017-01-13 00:00:00,2017-01-13 06:00:00,34,Scattered showers. Passing clouds.,6,2,1001,26,240,78
49,2017-01-13 06:00:00,2017-01-13 12:00:00,29,Snow showers. Partly sunny.,2,1,1005,23,270,72
